"long","lat","group","order","region","subregion"
-89.3527679443359,37.0417213439941,562,21927,"illinois","ALEXANDER"
-89.3871459960938,37.0818290710449,562,21928,"illinois","ALEXANDER"
-89.3928756713867,37.1162071228027,562,21929,"illinois","ALEXANDER"
-89.4043350219727,37.1448516845703,562,21930,"illinois","ALEXANDER"
-89.4444427490234,37.1792297363281,562,21931,"illinois","ALEXANDER"
-89.4559020996094,37.2193412780762,562,21932,"illinois","ALEXANDER"
-89.4673538208008,37.2594451904297,562,21933,"illinois","ALEXANDER"
-89.5017395019531,37.2709045410156,562,21934,"illinois","ALEXANDER"
-89.5131912231445,37.2880935668945,562,21935,"illinois","ALEXANDER"
-89.5074615478516,37.3167419433594,562,21936,"illinois","ALEXANDER"
-89.4730911254883,37.3339309692383,562,21937,"illinois","ALEXANDER"
-89.2152633666992,37.345386505127,562,21938,"illinois","ALEXANDER"
-89.2782821655273,38.7319450378418,563,21940,"illinois","BOND"
-89.5934066772461,38.737678527832,563,21941,"illinois","BOND"
-89.5991363525391,38.875186920166,563,21942,"illinois","BOND"
-89.6392440795898,38.875186920166,563,21943,"illinois","BOND"
-89.6392440795898,39.0012359619141,563,21944,"illinois","BOND"
-89.5876770019531,39.0069694519043,563,21945,"illinois","BOND"
-89.5876770019531,39.0298881530762,563,21946,"illinois","BOND"
-89.2610931396484,39.0298881530762,563,21947,"illinois","BOND"
-89.2610931396484,39.0069694519043,563,21948,"illinois","BOND"
-89.2782821655273,39.0069694519043,563,21949,"illinois","BOND"
-89.2782821655273,38.7319450378418,563,21950,"illinois","BOND"
-88.9402389526367,42.1582374572754,564,21952,"illinois","BOONE"
-88.9402389526367,42.496280670166,564,21953,"illinois","BOONE"
-88.7740783691406,42.502010345459,564,21954,"illinois","BOONE"
-88.699592590332,42.502010345459,564,21955,"illinois","BOONE"
-88.7053298950195,42.1582374572754,564,21956,"illinois","BOONE"
-88.9402389526367,42.1582374572754,564,21957,"illinois","BOONE"
