"year","county","area.mi","area.km","harv.tot"
2016,"MONTGOMERY",703,1131.83,1417
2017,"MONTGOMERY",703,1131.83,1469
2018,"MONTGOMERY",703,1131.83,1581
2019,"MONTGOMERY",703,1131.83,1712
2020,"MONTGOMERY",703,1131.83,1808
2021,"MONTGOMERY",703,1131.83,1738
2022,"MONTGOMERY",703,1131.83,1826
2005,"MORGAN",568,914.48,2222
2006,"MORGAN",568,914.48,2057
2007,"MORGAN",568,914.48,2053
2008,"MORGAN",568,914.48,1832
2009,"MORGAN",568,914.48,1966
2010,"MORGAN",568,914.48,1657
2011,"MORGAN",568,914.48,1707
2012,"MORGAN",568,914.48,1586
2013,"MORGAN",568,914.48,1301
2014,"MORGAN",568,914.48,1228
2015,"MORGAN",568,914.48,1351
2016,"MORGAN",568,914.48,1336
2017,"MORGAN",568,914.48,1324
2018,"MORGAN",568,914.48,1371
2019,"MORGAN",568,914.48,1360
2020,"MORGAN",568,914.48,1358
2021,"MORGAN",568,914.48,1292
2022,"MORGAN",568,914.48,1387
2005,"MOULTRIE",335,539.35,631
2006,"MOULTRIE",335,539.35,685
2007,"MOULTRIE",335,539.35,668
2008,"MOULTRIE",335,539.35,677
2009,"MOULTRIE",335,539.35,693
2010,"MOULTRIE",335,539.35,672
2011,"MOULTRIE",335,539.35,777
2012,"MOULTRIE",335,539.35,610
2013,"MOULTRIE",335,539.35,503
2014,"MOULTRIE",335,539.35,554
2015,"MOULTRIE",335,539.35,551
2016,"MOULTRIE",335,539.35,486
2017,"MOULTRIE",335,539.35,579
2018,"MOULTRIE",335,539.35,604
2019,"MOULTRIE",335,539.35,663
2020,"MOULTRIE",335,539.35,739
2021,"MOULTRIE",335,539.35,650
2022,"MOULTRIE",335,539.35,705
2005,"OGLE",758,1220.38,2459
2006,"OGLE",758,1220.38,2488
2007,"OGLE",758,1220.38,2440
2008,"OGLE",758,1220.38,2117
2009,"OGLE",758,1220.38,2356
2010,"OGLE",758,1220.38,2070
2011,"OGLE",758,1220.38,1990
2012,"OGLE",758,1220.38,2074
2013,"OGLE",758,1220.38,1872
2014,"OGLE",758,1220.38,1779
2015,"OGLE",758,1220.38,1961
2016,"OGLE",758,1220.38,1794
2017,"OGLE",758,1220.38,1562
2018,"OGLE",758,1220.38,1582
2019,"OGLE",758,1220.38,1435
2020,"OGLE",758,1220.38,1666
2021,"OGLE",758,1220.38,1317
2022,"OGLE",758,1220.38,1366
2005,"PEORIA",618,994.98,3069
2006,"PEORIA",618,994.98,3155
2007,"PEORIA",618,994.98,3340
2008,"PEORIA",618,994.98,3353
2009,"PEORIA",618,994.98,3366
2010,"PEORIA",618,994.98,3220
2011,"PEORIA",618,994.98,3075
2012,"PEORIA",618,994.98,3035
2013,"PEORIA",618,994.98,2140
2014,"PEORIA",618,994.98,2050
2015,"PEORIA",618,994.98,2039
2016,"PEORIA",618,994.98,1851
2017,"PEORIA",618,994.98,1821
2018,"PEORIA",618,994.98,1755
2019,"PEORIA",618,994.98,1888
2020,"PEORIA",618,994.98,2038
2021,"PEORIA",618,994.98,1900
2022,"PEORIA",618,994.98,1968
2005,"PERRY",441,710.01,2810
2006,"PERRY",441,710.01,2772
2007,"PERRY",441,710.01,2668
2008,"PERRY",441,710.01,2319
2009,"PERRY",441,710.01,2304
2010,"PERRY",441,710.01,2273
2011,"PERRY",441,710.01,2246
2012,"PERRY",441,710.01,2377
2013,"PERRY",441,710.01,2191
2014,"PERRY",441,710.01,2050
2015,"PERRY",441,710.01,2247
2016,"PERRY",441,710.01,2364
2017,"PERRY",441,710.01,2504
2018,"PERRY",441,710.01,2585
2019,"PERRY",441,710.01,2741
2020,"PERRY",441,710.01,2890
2021,"PERRY",441,710.01,2355
2022,"PERRY",441,710.01,2746
2005,"PIATT",439,706.79,619
2006,"PIATT",439,706.79,524
2007,"PIATT",439,706.79,483
2008,"PIATT",439,706.79,441
2009,"PIATT",439,706.79,447
2010,"PIATT",439,706.79,464
2011,"PIATT",439,706.79,455
2012,"PIATT",439,706.79,401
2013,"PIATT",439,706.79,324
2014,"PIATT",439,706.79,292
2015,"PIATT",439,706.79,231
2016,"PIATT",439,706.79,253
2017,"PIATT",439,706.79,286
2018,"PIATT",439,706.79,308
2019,"PIATT",439,706.79,396
2020,"PIATT",439,706.79,436
2021,"PIATT",439,706.79,363
2022,"PIATT",439,706.79,394
2005,"PIKE",831,1337.91,8982
2006,"PIKE",831,1337.91,9033
2007,"PIKE",831,1337.91,8443
2008,"PIKE",831,1337.91,8060
2009,"PIKE",831,1337.91,8166
2010,"PIKE",831,1337.91,7376
2011,"PIKE",831,1337.91,7179
2012,"PIKE",831,1337.91,7241
2013,"PIKE",831,1337.91,5647
2014,"PIKE",831,1337.91,5168
2015,"PIKE",831,1337.91,5077
2016,"PIKE",831,1337.91,4484
2017,"PIKE",831,1337.91,4367
2018,"PIKE",831,1337.91,4442
2019,"PIKE",831,1337.91,4397
2020,"PIKE",831,1337.91,4550
2021,"PIKE",831,1337.91,4081
2022,"PIKE",831,1337.91,4333
2005,"POPE",368,592.48,3230
2006,"POPE",368,592.48,3075
2007,"POPE",368,592.48,3046
2008,"POPE",368,592.48,2839
2009,"POPE",368,592.48,2612
2010,"POPE",368,592.48,2659
2011,"POPE",368,592.48,2713
2012,"POPE",368,592.48,2517
2013,"POPE",368,592.48,2385
2014,"POPE",368,592.48,2547
2015,"POPE",368,592.48,2536
2016,"POPE",368,592.48,2341
2017,"POPE",368,592.48,2440
2018,"POPE",368,592.48,2369
2019,"POPE",368,592.48,2472
2020,"POPE",368,592.48,2403
2021,"POPE",368,592.48,2137
2022,"POPE",368,592.48,2528
2005,"PULASKI",199,320.39,1139
2006,"PULASKI",199,320.39,1151
2007,"PULASKI",199,320.39,1171
2008,"PULASKI",199,320.39,1123
2009,"PULASKI",199,320.39,1049
2010,"PULASKI",199,320.39,1113
2011,"PULASKI",199,320.39,1093
2012,"PULASKI",199,320.39,973
2013,"PULASKI",199,320.39,867
2014,"PULASKI",199,320.39,833
2015,"PULASKI",199,320.39,793
2016,"PULASKI",199,320.39,670
2017,"PULASKI",199,320.39,608
2018,"PULASKI",199,320.39,531
2019,"PULASKI",199,320.39,610
2020,"PULASKI",199,320.39,616
2021,"PULASKI",199,320.39,567
2022,"PULASKI",199,320.39,643
2005,"PUTNAM",160,257.6,934
2006,"PUTNAM",160,257.6,855
2007,"PUTNAM",160,257.6,1020
2008,"PUTNAM",160,257.6,1000
2009,"PUTNAM",160,257.6,1146
2010,"PUTNAM",160,257.6,993
2011,"PUTNAM",160,257.6,908
2012,"PUTNAM",160,257.6,912
2013,"PUTNAM",160,257.6,714
2014,"PUTNAM",160,257.6,689
2015,"PUTNAM",160,257.6,748
2016,"PUTNAM",160,257.6,652
2017,"PUTNAM",160,257.6,614
2018,"PUTNAM",160,257.6,674
2019,"PUTNAM",160,257.6,705
2020,"PUTNAM",160,257.6,687
2021,"PUTNAM",160,257.6,650
2022,"PUTNAM",160,257.6,719
2005,"RANDOLPH",575,925.75,3987
2006,"RANDOLPH",575,925.75,4139
2007,"RANDOLPH",575,925.75,3954
2008,"RANDOLPH",575,925.75,3856
2009,"RANDOLPH",575,925.75,3680
2010,"RANDOLPH",575,925.75,3591
2011,"RANDOLPH",575,925.75,3626
2012,"RANDOLPH",575,925.75,3677
2013,"RANDOLPH",575,925.75,3312
2014,"RANDOLPH",575,925.75,3124
2015,"RANDOLPH",575,925.75,3470
2016,"RANDOLPH",575,925.75,3513
2017,"RANDOLPH",575,925.75,3683
2018,"RANDOLPH",575,925.75,3587
2019,"RANDOLPH",575,925.75,3794
2020,"RANDOLPH",575,925.75,3893
2021,"RANDOLPH",575,925.75,3569
2022,"RANDOLPH",575,925.75,4088
2005,"RICHLAND",360,579.6,1852
2006,"RICHLAND",360,579.6,1695
2007,"RICHLAND",360,579.6,1594
2008,"RICHLAND",360,579.6,1451
2009,"RICHLAND",360,579.6,1476
2010,"RICHLAND",360,579.6,1429
2011,"RICHLAND",360,579.6,1412
2012,"RICHLAND",360,579.6,1327
2013,"RICHLAND",360,579.6,1110
2014,"RICHLAND",360,579.6,1099
2015,"RICHLAND",360,579.6,1170
2016,"RICHLAND",360,579.6,1171
2017,"RICHLAND",360,579.6,1204
2018,"RICHLAND",360,579.6,1148
2019,"RICHLAND",360,579.6,1274
2020,"RICHLAND",360,579.6,1297
2021,"RICHLAND",360,579.6,1228
2022,"RICHLAND",360,579.6,1272
2005,"ROCK ISLAND",427,687.47,1695
2006,"ROCK ISLAND",427,687.47,1869
2007,"ROCK ISLAND",427,687.47,1846
2008,"ROCK ISLAND",427,687.47,1790
2009,"ROCK ISLAND",427,687.47,1926
2010,"ROCK ISLAND",427,687.47,1728
2011,"ROCK ISLAND",427,687.47,1686
2012,"ROCK ISLAND",427,687.47,1786
2013,"ROCK ISLAND",427,687.47,1604
2014,"ROCK ISLAND",427,687.47,1613
2015,"ROCK ISLAND",427,687.47,1718
2016,"ROCK ISLAND",427,687.47,1603
2017,"ROCK ISLAND",427,687.47,1534
2018,"ROCK ISLAND",427,687.47,1659
2019,"ROCK ISLAND",427,687.47,1375
2020,"ROCK ISLAND",427,687.47,1531
2021,"ROCK ISLAND",427,687.47,1310
2022,"ROCK ISLAND",427,687.47,1362
2005,"SALINE",379,610.19,1701
2006,"SALINE",379,610.19,1707
2007,"SALINE",379,610.19,1757
2008,"SALINE",379,610.19,1725
2009,"SALINE",379,610.19,1735
2010,"SALINE",379,610.19,1913
2011,"SALINE",379,610.19,1728
2012,"SALINE",379,610.19,1739
2013,"SALINE",379,610.19,1490
2014,"SALINE",379,610.19,1522
2015,"SALINE",379,610.19,1707
2016,"SALINE",379,610.19,1439
2017,"SALINE",379,610.19,1605
2018,"SALINE",379,610.19,1672
2019,"SALINE",379,610.19,1753
2020,"SALINE",379,610.19,1899
2021,"SALINE",379,610.19,1571
2022,"SALINE",379,610.19,1840
2005,"SANGAMON",868,1397.48,1949
2006,"SANGAMON",868,1397.48,1980
2007,"SANGAMON",868,1397.48,1954
2008,"SANGAMON",868,1397.48,1908
2009,"SANGAMON",868,1397.48,1896
2010,"SANGAMON",868,1397.48,1762
2011,"SANGAMON",868,1397.48,1770
2012,"SANGAMON",868,1397.48,1843
2013,"SANGAMON",868,1397.48,1380
2014,"SANGAMON",868,1397.48,1387
2015,"SANGAMON",868,1397.48,1510
2016,"SANGAMON",868,1397.48,1333
2017,"SANGAMON",868,1397.48,1457
2018,"SANGAMON",868,1397.48,1527
2019,"SANGAMON",868,1397.48,1517
2020,"SANGAMON",868,1397.48,1612
2021,"SANGAMON",868,1397.48,1450
2022,"SANGAMON",868,1397.48,1488
2005,"SCHUYLER",437,703.57,3147
2006,"SCHUYLER",437,703.57,2996
2007,"SCHUYLER",437,703.57,3243
2008,"SCHUYLER",437,703.57,3112
2009,"SCHUYLER",437,703.57,3235
2010,"SCHUYLER",437,703.57,3085
2011,"SCHUYLER",437,703.57,3108
2012,"SCHUYLER",437,703.57,3215
2013,"SCHUYLER",437,703.57,2451
2014,"SCHUYLER",437,703.57,2523
2015,"SCHUYLER",437,703.57,2714
2016,"SCHUYLER",437,703.57,2486
2017,"SCHUYLER",437,703.57,2646
2018,"SCHUYLER",437,703.57,2630
2019,"SCHUYLER",437,703.57,2519
2020,"SCHUYLER",437,703.57,2503
2021,"SCHUYLER",437,703.57,2701
2022,"SCHUYLER",437,703.57,2731
2005,"SCOTT",250,402.5,1214
2006,"SCOTT",250,402.5,1090
2007,"SCOTT",250,402.5,1091
2008,"SCOTT",250,402.5,953
2009,"SCOTT",250,402.5,934
2010,"SCOTT",250,402.5,925
2011,"SCOTT",250,402.5,885
2012,"SCOTT",250,402.5,922
2013,"SCOTT",250,402.5,665
2014,"SCOTT",250,402.5,634
2015,"SCOTT",250,402.5,679
2016,"SCOTT",250,402.5,614
2017,"SCOTT",250,402.5,592
2018,"SCOTT",250,402.5,601
2019,"SCOTT",250,402.5,645
2020,"SCOTT",250,402.5,681
2021,"SCOTT",250,402.5,680
2022,"SCOTT",250,402.5,698
2005,"SHELBY",758,1220.38,2428
2006,"SHELBY",758,1220.38,2441
2007,"SHELBY",758,1220.38,2554
2008,"SHELBY",758,1220.38,2397
2009,"SHELBY",758,1220.38,2495
2010,"SHELBY",758,1220.38,2373
2011,"SHELBY",758,1220.38,2538
2012,"SHELBY",758,1220.38,2190
2013,"SHELBY",758,1220.38,1738
2014,"SHELBY",758,1220.38,1732
2015,"SHELBY",758,1220.38,2009
2016,"SHELBY",758,1220.38,1899
2017,"SHELBY",758,1220.38,1946
2018,"SHELBY",758,1220.38,2153
2019,"SHELBY",758,1220.38,2300
2020,"SHELBY",758,1220.38,2533
2021,"SHELBY",758,1220.38,2442
2022,"SHELBY",758,1220.38,2550
2005,"ST. CLAIR",657,1057.77,2123
2006,"ST. CLAIR",657,1057.77,2061
2007,"ST. CLAIR",657,1057.77,1935
2008,"ST. CLAIR",657,1057.77,1816
2009,"ST. CLAIR",657,1057.77,1829
2010,"ST. CLAIR",657,1057.77,1721
2011,"ST. CLAIR",657,1057.77,1737
2012,"ST. CLAIR",657,1057.77,1698
2013,"ST. CLAIR",657,1057.77,1373
2014,"ST. CLAIR",657,1057.77,1191
2015,"ST. CLAIR",657,1057.77,1406
2016,"ST. CLAIR",657,1057.77,1237
2017,"ST. CLAIR",657,1057.77,1346
2018,"ST. CLAIR",657,1057.77,1428
2019,"ST. CLAIR",657,1057.77,1443
2020,"ST. CLAIR",657,1057.77,1656
2021,"ST. CLAIR",657,1057.77,1547
2022,"ST. CLAIR",657,1057.77,1689
2005,"STARK",288,463.68,598
2006,"STARK",288,463.68,572
2007,"STARK",288,463.68,589
2008,"STARK",288,463.68,580
2009,"STARK",288,463.68,554
2010,"STARK",288,463.68,587
2011,"STARK",288,463.68,496
2012,"STARK",288,463.68,567
2013,"STARK",288,463.68,373
2014,"STARK",288,463.68,365
2015,"STARK",288,463.68,350
2016,"STARK",288,463.68,317
2017,"STARK",288,463.68,332
2018,"STARK",288,463.68,309
2019,"STARK",288,463.68,311
2020,"STARK",288,463.68,340
2021,"STARK",288,463.68,298
2022,"STARK",288,463.68,319
2005,"STEPHENSON",564,908.04,1728
2006,"STEPHENSON",564,908.04,1738
2007,"STEPHENSON",564,908.04,1829
2008,"STEPHENSON",564,908.04,1737
2009,"STEPHENSON",564,908.04,1781
2010,"STEPHENSON",564,908.04,1747
2011,"STEPHENSON",564,908.04,1651
2012,"STEPHENSON",564,908.04,1771
2013,"STEPHENSON",564,908.04,1391
2014,"STEPHENSON",564,908.04,1494
2015,"STEPHENSON",564,908.04,1553
2016,"STEPHENSON",564,908.04,1508
2017,"STEPHENSON",564,908.04,1342
2018,"STEPHENSON",564,908.04,1252
2019,"STEPHENSON",564,908.04,1216
2020,"STEPHENSON",564,908.04,1345
2021,"STEPHENSON",564,908.04,1030
2022,"STEPHENSON",564,908.04,1031
2005,"TAZEWELL",646,1040.06,1750
2006,"TAZEWELL",646,1040.06,1697
2007,"TAZEWELL",646,1040.06,1671
2008,"TAZEWELL",646,1040.06,1691
2009,"TAZEWELL",646,1040.06,1715
2010,"TAZEWELL",646,1040.06,1588
2011,"TAZEWELL",646,1040.06,1588
2012,"TAZEWELL",646,1040.06,1626
2013,"TAZEWELL",646,1040.06,1123
2014,"TAZEWELL",646,1040.06,1041
2015,"TAZEWELL",646,1040.06,1145
2016,"TAZEWELL",646,1040.06,1036
2017,"TAZEWELL",646,1040.06,1098
2018,"TAZEWELL",646,1040.06,1143
2019,"TAZEWELL",646,1040.06,1220
2020,"TAZEWELL",646,1040.06,1331
2021,"TAZEWELL",646,1040.06,1210
2022,"TAZEWELL",646,1040.06,1400
2005,"UNION",413,664.93,2976
2006,"UNION",413,664.93,3150
2007,"UNION",413,664.93,3213
2008,"UNION",413,664.93,2963
2009,"UNION",413,664.93,2985
2010,"UNION",413,664.93,2777
2011,"UNION",413,664.93,2827
2012,"UNION",413,664.93,2651
2013,"UNION",413,664.93,2734
2014,"UNION",413,664.93,2684
2015,"UNION",413,664.93,2863
2016,"UNION",413,664.93,2447
2017,"UNION",413,664.93,2438
2018,"UNION",413,664.93,2372
2019,"UNION",413,664.93,2342
2020,"UNION",413,664.93,2322
2021,"UNION",413,664.93,2064
2022,"UNION",413,664.93,2212
2005,"VERMILION",898,1445.78,2079
2006,"VERMILION",898,1445.78,2010
2007,"VERMILION",898,1445.78,2252
2008,"VERMILION",898,1445.78,2223
2009,"VERMILION",898,1445.78,2353
2010,"VERMILION",898,1445.78,2263
2011,"VERMILION",898,1445.78,2319
2012,"VERMILION",898,1445.78,2178
2013,"VERMILION",898,1445.78,1660
2014,"VERMILION",898,1445.78,1518
2015,"VERMILION",898,1445.78,1645
2016,"VERMILION",898,1445.78,1495
2017,"VERMILION",898,1445.78,1447
2018,"VERMILION",898,1445.78,1423
2019,"VERMILION",898,1445.78,1514
2020,"VERMILION",898,1445.78,1787
2021,"VERMILION",898,1445.78,1729
2022,"VERMILION",898,1445.78,1788
2005,"WABASH",223,359.03,737
2006,"WABASH",223,359.03,675
2007,"WABASH",223,359.03,629
2008,"WABASH",223,359.03,623
2009,"WABASH",223,359.03,587
2010,"WABASH",223,359.03,612
2011,"WABASH",223,359.03,530
2012,"WABASH",223,359.03,518
2013,"WABASH",223,359.03,470
2014,"WABASH",223,359.03,495
2015,"WABASH",223,359.03,479
2016,"WABASH",223,359.03,455
2017,"WABASH",223,359.03,429
2018,"WABASH",223,359.03,397
2019,"WABASH",223,359.03,389
2020,"WABASH",223,359.03,451
2021,"WABASH",223,359.03,399
2022,"WABASH",223,359.03,447
2005,"WARREN",542,872.62,1276
2006,"WARREN",542,872.62,1137
2007,"WARREN",542,872.62,1081
2008,"WARREN",542,872.62,1092
2009,"WARREN",542,872.62,1072
2010,"WARREN",542,872.62,1035
2011,"WARREN",542,872.62,1033
2012,"WARREN",542,872.62,1140
2013,"WARREN",542,872.62,863
2014,"WARREN",542,872.62,884
2015,"WARREN",542,872.62,909
2016,"WARREN",542,872.62,850
2017,"WARREN",542,872.62,844
2018,"WARREN",542,872.62,785
2019,"WARREN",542,872.62,769
2020,"WARREN",542,872.62,815
2021,"WARREN",542,872.62,740
2022,"WARREN",542,872.62,764
2005,"WASHINGTON",562,904.82,2288
2006,"WASHINGTON",562,904.82,2207
2007,"WASHINGTON",562,904.82,2033
2008,"WASHINGTON",562,904.82,1818
2009,"WASHINGTON",562,904.82,1632
2010,"WASHINGTON",562,904.82,1646
2011,"WASHINGTON",562,904.82,1563
2012,"WASHINGTON",562,904.82,1525
2013,"WASHINGTON",562,904.82,1416
2014,"WASHINGTON",562,904.82,1422
2015,"WASHINGTON",562,904.82,1526
2016,"WASHINGTON",562,904.82,1489
2017,"WASHINGTON",562,904.82,1586
2018,"WASHINGTON",562,904.82,1594
2019,"WASHINGTON",562,904.82,1607
2020,"WASHINGTON",562,904.82,1715
2021,"WASHINGTON",562,904.82,1620
2022,"WASHINGTON",562,904.82,1818
2005,"WAYNE",713,1147.93,3500
2006,"WAYNE",713,1147.93,3298
2007,"WAYNE",713,1147.93,3540
2008,"WAYNE",713,1147.93,3381
2009,"WAYNE",713,1147.93,3508
2010,"WAYNE",713,1147.93,3280
2011,"WAYNE",713,1147.93,3401
2012,"WAYNE",713,1147.93,3140
2013,"WAYNE",713,1147.93,2538
2014,"WAYNE",713,1147.93,2630
2015,"WAYNE",713,1147.93,2604
2016,"WAYNE",713,1147.93,2525
2017,"WAYNE",713,1147.93,2565
2018,"WAYNE",713,1147.93,2418
2019,"WAYNE",713,1147.93,2618
2020,"WAYNE",713,1147.93,2809
2021,"WAYNE",713,1147.93,2555
2022,"WAYNE",713,1147.93,2792
2005,"WHITE",494,795.34,2299
2006,"WHITE",494,795.34,2171
2007,"WHITE",494,795.34,2274
2008,"WHITE",494,795.34,2049
2009,"WHITE",494,795.34,2067
2010,"WHITE",494,795.34,2009
2011,"WHITE",494,795.34,2017
2012,"WHITE",494,795.34,1804
2013,"WHITE",494,795.34,1710
2014,"WHITE",494,795.34,1766
2015,"WHITE",494,795.34,1747
2016,"WHITE",494,795.34,1587
2017,"WHITE",494,795.34,1489
2018,"WHITE",494,795.34,1325
2019,"WHITE",494,795.34,1420
2020,"WHITE",494,795.34,1602
2021,"WHITE",494,795.34,1408
2022,"WHITE",494,795.34,1625
2005,"WHITESIDE",684,1101.24,1704
2006,"WHITESIDE",684,1101.24,1582
2007,"WHITESIDE",684,1101.24,1663
2008,"WHITESIDE",684,1101.24,1504
2009,"WHITESIDE",684,1101.24,1559
2010,"WHITESIDE",684,1101.24,1470
2011,"WHITESIDE",684,1101.24,1358
2012,"WHITESIDE",684,1101.24,1535
2013,"WHITESIDE",684,1101.24,1265
2014,"WHITESIDE",684,1101.24,1101
2015,"WHITESIDE",684,1101.24,1233
2016,"WHITESIDE",684,1101.24,1107
2017,"WHITESIDE",684,1101.24,1123
2018,"WHITESIDE",684,1101.24,1157
2019,"WHITESIDE",684,1101.24,1093
2020,"WHITESIDE",684,1101.24,1222
2021,"WHITESIDE",684,1101.24,1055
2022,"WHITESIDE",684,1101.24,1178
2005,"WILL",835,1344.35,1392
2006,"WILL",835,1344.35,1430
2007,"WILL",835,1344.35,1435
2008,"WILL",835,1344.35,1358
2009,"WILL",835,1344.35,1358
2010,"WILL",835,1344.35,1250
2011,"WILL",835,1344.35,1247
2012,"WILL",835,1344.35,1256
2013,"WILL",835,1344.35,1286
2014,"WILL",835,1344.35,1093
2015,"WILL",835,1344.35,1181
2016,"WILL",835,1344.35,1058
2017,"WILL",835,1344.35,1001
2018,"WILL",835,1344.35,1155
2019,"WILL",835,1344.35,1051
2020,"WILL",835,1344.35,1174
2021,"WILL",835,1344.35,981
2022,"WILL",835,1344.35,1018
2005,"WILLIAMSON",420,676.2,3142
2006,"WILLIAMSON",420,676.2,3039
2007,"WILLIAMSON",420,676.2,3059
2008,"WILLIAMSON",420,676.2,2832
2009,"WILLIAMSON",420,676.2,2476
2010,"WILLIAMSON",420,676.2,2644
2011,"WILLIAMSON",420,676.2,2677
2012,"WILLIAMSON",420,676.2,2620
2013,"WILLIAMSON",420,676.2,2632
2014,"WILLIAMSON",420,676.2,2826
2015,"WILLIAMSON",420,676.2,3127
2016,"WILLIAMSON",420,676.2,2773
2017,"WILLIAMSON",420,676.2,3026
2018,"WILLIAMSON",420,676.2,3109
2019,"WILLIAMSON",420,676.2,3358
2020,"WILLIAMSON",420,676.2,3333
2021,"WILLIAMSON",420,676.2,3033
2022,"WILLIAMSON",420,676.2,3517
2005,"WINNEBAGO",513,825.93,1254
2006,"WINNEBAGO",513,825.93,1121
2007,"WINNEBAGO",513,825.93,1086
2008,"WINNEBAGO",513,825.93,1038
2009,"WINNEBAGO",513,825.93,1139
2010,"WINNEBAGO",513,825.93,943
2011,"WINNEBAGO",513,825.93,925
2012,"WINNEBAGO",513,825.93,1033
2013,"WINNEBAGO",513,825.93,860
2014,"WINNEBAGO",513,825.93,912
2015,"WINNEBAGO",513,825.93,1021
2016,"WINNEBAGO",513,825.93,934
2017,"WINNEBAGO",513,825.93,883
2018,"WINNEBAGO",513,825.93,944
2019,"WINNEBAGO",513,825.93,831
2020,"WINNEBAGO",513,825.93,920
2021,"WINNEBAGO",513,825.93,813
2022,"WINNEBAGO",513,825.93,772
2005,"WOODFORD",527,848.47,1889
2006,"WOODFORD",527,848.47,1757
2007,"WOODFORD",527,848.47,1911
2008,"WOODFORD",527,848.47,2035
2009,"WOODFORD",527,848.47,1959
2010,"WOODFORD",527,848.47,1941
2011,"WOODFORD",527,848.47,1681
2012,"WOODFORD",527,848.47,1834
2013,"WOODFORD",527,848.47,1245
2014,"WOODFORD",527,848.47,1100
2015,"WOODFORD",527,848.47,1244
2016,"WOODFORD",527,848.47,1125
2017,"WOODFORD",527,848.47,1216
2018,"WOODFORD",527,848.47,1179
2019,"WOODFORD",527,848.47,1381
2020,"WOODFORD",527,848.47,1435
2021,"WOODFORD",527,848.47,1385
2022,"WOODFORD",527,848.47,1544
